Data,Valoare EUR (exprimată in lei)
29.06.2023,4.9644
30.06.2023,4.9634
01.07.2023,
02.07.2023,
03.07.2023,4.9517
04.07.2023,4.9503
05.07.2023,4.9473
06.07.2023,4.9507
07.07.2023,4.9540
08.07.2023,
09.07.2023,
10.07.2023,4.9514
11.07.2023,4.9501
12.07.2023,4.9510
13.07.2023,4.9437
14.07.2023,4.9426
15.07.2023,
16.07.2023,
17.07.2023,4.9406
18.07.2023,4.9385
19.07.2023,4.9465
20.07.2023,4.9403
21.07.2023,4.9377
22.07.2023,
23.07.2023,
24.07.2023,4.9245
25.07.2023,4.9198
26.07.2023,4.9292
27.07.2023,4.9285
28.07.2023,4.9322
29.07.2023,
30.07.2023,
31.07.2023,4.9346
01.08.2023,4.9334
02.08.2023,4.9339
03.08.2023,4.9382
04.08.2023,4.9521
05.08.2023,
06.08.2023,
07.08.2023,4.9490
08.08.2023,4.9497
09.08.2023,4.9477
10.08.2023,4.9433
11.08.2023,4.9418
12.08.2023,
13.08.2023,
14.08.2023,4.9422
15.08.2023,
16.08.2023,4.9354
17.08.2023,4.9345
18.08.2023,4.9442
19.08.2023,
20.08.2023,
21.08.2023,4.9416
22.08.2023,4.9373
23.08.2023,4.9405
24.08.2023,4.9345
25.08.2023,4.9388
26.08.2023,
27.08.2023,
28.08.2023,4.9358
29.08.2023,4.9418
30.08.2023,4.9424
31.08.2023,4.9412
01.09.2023,4.9440
